,job_title,company_name,company_rating,company_location,job_descriptions
216,Software Developer Co-op,"Healthcare Financial, Inc.",N/A,N/A,Process data and developing web applications and reporting tools supporting HFI’s new business initiatives and the speed or sudden variations in data collection…
217,Data Architecture Consultant,Accenture,4.0,N/A,Ensure test data conforms to data security requirements.
218,Junior Full Stack Developer,Mathematica Policy Research,3.8,N/A,"We collaborate closely with public- and private-sector partners to translate big questions into deep insights that improve programs, refine strategies, and…"
219,"Associate, Cloud Application Developer",KPMG,4.0,N/A,"From applied AI to optimization to big data platform engineering, your analytical and technical skills will drive real impact in the business world."
220,Talend Big Data Architect,Cervello Inc,N/A,N/A,Experience with big data cross platform compatible file formats like Apache Avro & Apache Parquet.
221,"VP Product Management, Effectv",Comcast,3.7,N/A,"You have a successful history of shipping innovative products on time with demonstrated analytical and quantitative skills, ability to use hard data and metrics…"
222,Microsoft ETL Developer,"W.B. Mason Company, Inc",2.8,N/A,Demonstrated knowledge of database structures and data architecture.
223,Software Development Engineer (React Developer),Alldus,N/A,N/A,They use a combination of Machine Learning methods and Data Science to assist with their Drug Discovery process.
224,Capital Data and Systems Analyst,Dept Housing & Community Dev,3.8,N/A,"C. Provides Annual Plan and Annual CIP support (troubleshooting, data updates via UI, communication with maintenance & support developer for bug fixes and…"
225,Software Developer Co-op,HFI-Healthcare Financial,N/A,N/A,Process data and developing web applications and reporting tools supporting HFI’s new business initiatives and the speed or sudden variations in data collection…
226,Data Engineer,"Commonwealth Equity Services, Inc.",N/A,N/A,Fulfilling data requests when the data elements are not yet built in the data warehouse.
227,Data Architect,Uplight,4.3,N/A,"Your primary focus will be the creation of a new unified data model that facilitates access and interaction with energy, smart home, and 3rd party data."
228,"Senior Specialist, SQL BI Developer",BNY Mellon,3.5,N/A,Acts as a mentor to junior level developers.
229,"Data Engineer (EDW, Data Analytics Office)",Mass General Brigham(PHS),3.9,N/A,"Familiarity with data engineering, data governance and data quality principles."
230,Software Developer Co-op,"Healthcare Financial, Inc.",N/A,N/A,Process data and developing web applications and reporting tools supporting HFI’s new business initiatives and the speed or sudden variations in data collection…
231,"AML Technology: Application Developer - Big Data, AVP",State Street,3.5,N/A,"Be responsible for Data Engineering using Hadoop, Spark, Scala and associated big data technologies."
232,Data Analyst,The Community Builders,3.2,N/A,"Data management for various Community Life data sources utilizing R and R studio software (e.g. data cleaning, data analysis, and quality assurance)."
233,"Associate, Cloud Application Developer",KPMG,4.0,N/A,"From applied AI to optimization to big data platform engineering, your analytical and technical skills will drive real impact in the business world."
234,"VP Product Management, Effectv",Comcast,3.7,N/A,"You have a successful history of shipping innovative products on time with demonstrated analytical and quantitative skills, ability to use hard data and metrics…"
235,Talend Big Data Architect,Cervello Inc,N/A,N/A,Experience with big data cross platform compatible file formats like Apache Avro & Apache Parquet.
236,Microsoft ETL Developer,"W.B. Mason Company, Inc",2.8,N/A,Demonstrated knowledge of database structures and data architecture.
237,Product Owner,BlueConic,N/A,N/A,"BlueConic is the market-leading customer data platform, which gives marketers the power to liberate their data and use it to improve marketing outcomes."
238,Backend/Data Engineer - Personalization (Remote Eligible - Americas),Spotify,4.3,N/A,You are knowledgeable about data access and data storage techniques.
239,Business Development Representative,Veracode,3.8,N/A,As a Business Development Representative you will be responsible for qualifying marketing leads and prospecting into target accounts.
240,"AML Technology: Application Developer - Big Data, AVP",State Street,3.5,N/A,"Be responsible for Data Engineering using Hadoop, Spark, Scala and associated big data technologies."
241,Junior Full Stack Developer,Mathematica Policy Research,3.8,N/A,"We collaborate closely with public- and private-sector partners to translate big questions into deep insights that improve programs, refine strategies, and…"
242,"VP Product Management, Effectv",Comcast,3.7,N/A,"You have a successful history of shipping innovative products on time with demonstrated analytical and quantitative skills, ability to use hard data and metrics…"
243,"Associate, Cloud Application Developer",KPMG,4.0,N/A,"From applied AI to optimization to big data platform engineering, your analytical and technical skills will drive real impact in the business world."
244,Data Architecture Consultant,Accenture,4.0,N/A,Ensure test data conforms to data security requirements.
245,Lead Full Stack Developer,Mathematica Policy Research,3.8,N/A,Conduct code reviews with developers through pull requests.
246,Software Developer Co-op,"Healthcare Financial, Inc.",N/A,N/A,Process data and developing web applications and reporting tools supporting HFI’s new business initiatives and the speed or sudden variations in data collection…
247,"Vice President, IT & Informatics",EdenRoc Sciences,N/A,N/A,Create a comprehensive roadmap for the overall cyber-security and data privacy capabilities with a strategy of “data privacy by design”.
248,Software Developer Co-op,HFI-Healthcare Financial,N/A,N/A,Process data and developing web applications and reporting tools supporting HFI’s new business initiatives and the speed or sudden variations in data collection…
249,"Email Developer, Global CRM","Sonos, Inc",3.9,N/A,"Create send definitions, data extensions, send interactions and filters."
250,"Project Manager / Business Manager, Data Science & Advanced Analytics",MassMutual,3.7,N/A,Manipulation of large data sets.
251,Talend Big Data Architect,Cervello Inc,N/A,N/A,Experience with big data cross platform compatible file formats like Apache Avro & Apache Parquet.
252,Product Owner,BlueConic,N/A,N/A,"BlueConic is the market-leading customer data platform, which gives marketers the power to liberate their data and use it to improve marketing outcomes."
253,Software Development Programmer,Karen Clark & Company,N/A,N/A,Opportunity to develop domain expertise in insurance and big data.
254,Software Engineer,Red Hat Software,4.0,N/A,Design and implement disaster recovery processes for big data.
255,"Data Engineer (EDW, Data Analytics Office)",Mass General Brigham(PHS),3.9,N/A,"Familiarity with data engineering, data governance and data quality principles."
256,Data Engineer,"Commonwealth Equity Services, Inc.",N/A,N/A,Fulfilling data requests when the data elements are not yet built in the data warehouse.
257,Data Architect,Uplight,4.3,N/A,"Your primary focus will be the creation of a new unified data model that facilitates access and interaction with energy, smart home, and 3rd party data."
258,"AML Technology: Application Developer - Big Data, AVP",State Street,3.5,N/A,"Be responsible for Data Engineering using Hadoop, Spark, Scala and associated big data technologies."
259,Software Developer Co-op,HFI-Healthcare Financial,N/A,N/A,Process data and developing web applications and reporting tools supporting HFI’s new business initiatives and the speed or sudden variations in data collection…
260,Data Analyst,The Community Builders,3.2,N/A,"Data management for various Community Life data sources utilizing R and R studio software (e.g. data cleaning, data analysis, and quality assurance)."
261,Software Developer Co-op,"Healthcare Financial, Inc.",N/A,N/A,Process data and developing web applications and reporting tools supporting HFI’s new business initiatives and the speed or sudden variations in data collection…
262,Data Architecture Consultant,Accenture,4.0,N/A,Ensure test data conforms to data security requirements.
263,"Associate, Cloud Application Developer",KPMG,4.0,N/A,"From applied AI to optimization to big data platform engineering, your analytical and technical skills will drive real impact in the business world."
264,Talend Big Data Architect,Cervello Inc,N/A,N/A,Experience with big data cross platform compatible file formats like Apache Avro & Apache Parquet.
265,"VP Product Management, Effectv",Comcast,3.7,N/A,"You have a successful history of shipping innovative products on time with demonstrated analytical and quantitative skills, ability to use hard data and metrics…"
266,Microsoft ETL Developer,"W.B. Mason Company, Inc",2.8,N/A,Demonstrated knowledge of database structures and data architecture.
267,Software Development Engineer (React Developer),Alldus,N/A,N/A,They use a combination of Machine Learning methods and Data Science to assist with their Drug Discovery process.
268,Capital Data and Systems Analyst,Dept Housing & Community Dev,3.8,N/A,"C. Provides Annual Plan and Annual CIP support (troubleshooting, data updates via UI, communication with maintenance & support developer for bug fixes and…"
269,State Rental Assistance Data Systems and Performance Analyst,Dept Housing & Community Dev,3.8,N/A,Work with the Assistant Director and software developers to complete SOHA.
270,Software Developer Co-op,"Healthcare Financial, Inc.",N/A,N/A,Process data and developing web applications and reporting tools supporting HFI’s new business initiatives and the speed or sudden variations in data collection…
271,Data Architecture Consultant,Accenture,4.0,N/A,Ensure test data conforms to data security requirements.
272,Junior Full Stack Developer,Mathematica Policy Research,3.8,N/A,"We collaborate closely with public- and private-sector partners to translate big questions into deep insights that improve programs, refine strategies, and…"
273,"Associate, Cloud Application Developer",KPMG,4.0,N/A,"From applied AI to optimization to big data platform engineering, your analytical and technical skills will drive real impact in the business world."
274,Talend Big Data Architect,Cervello Inc,N/A,N/A,Experience with big data cross platform compatible file formats like Apache Avro & Apache Parquet.
275,"VP Product Management, Effectv",Comcast,3.7,N/A,"You have a successful history of shipping innovative products on time with demonstrated analytical and quantitative skills, ability to use hard data and metrics…"
276,Microsoft ETL Developer,"W.B. Mason Company, Inc",2.8,N/A,Demonstrated knowledge of database structures and data architecture.
277,Software Development Engineer (React Developer),Alldus,N/A,N/A,They use a combination of Machine Learning methods and Data Science to assist with their Drug Discovery process.
278,Product Owner,BlueConic,N/A,N/A,"BlueConic is the market-leading customer data platform, which gives marketers the power to liberate their data and use it to improve marketing outcomes."
279,Senior Middleware Developer,ACESTACK LLC,N/A,N/A,"Skills to communicate and collaborate with other teams to integrate with REST web services, frontend applications and data models."
280,Lead Full Stack Developer,Mathematica Policy Research,3.8,N/A,Conduct code reviews with developers through pull requests.
281,"Project Manager / Business Manager, Data Science & Advanced Analytics",MassMutual,3.7,N/A,Manipulation of large data sets.
282,Software Development Programmer,Karen Clark & Company,N/A,N/A,Opportunity to develop domain expertise in insurance and big data.
283,Senior Data Engineer,Aborn & Co.,N/A,N/A,"Our Senior Data Engineer is responsible for every step of the data process, from managing data pipelines and data warehouses to analyzing data."
284,ETL Developer,Healthedge,3.4,N/A,3-5 years of experience with big data technologies.
285,"Senior Specialist, SQL BI Developer",BNY Mellon,3.5,N/A,Acts as a mentor to junior level developers.
286,"Data Engineer (EDW, Data Analytics Office)",Mass General Brigham(PHS),3.9,N/A,"Familiarity with data engineering, data governance and data quality principles."
287,Data Engineer,"Commonwealth Equity Services, Inc.",N/A,N/A,Fulfilling data requests when the data elements are not yet built in the data warehouse.
288,Data Analyst II,Massachusetts General Hospital(MGH),4.3,N/A,"Work alongside the director and senior data analyst of the health data platform, to design, implement and deploy complex data models and processes to support…"
289,Data Architect,Uplight,4.3,N/A,"Your primary focus will be the creation of a new unified data model that facilitates access and interaction with energy, smart home, and 3rd party data."
290,"AML Technology: Application Developer - Big Data, AVP",State Street,3.5,N/A,"Be responsible for Data Engineering using Hadoop, Spark, Scala and associated big data technologies."
291,Software Developer Co-op,HFI-Healthcare Financial,N/A,N/A,Process data and developing web applications and reporting tools supporting HFI’s new business initiatives and the speed or sudden variations in data collection…
292,Data Analyst,The Community Builders,3.2,N/A,"Data management for various Community Life data sources utilizing R and R studio software (e.g. data cleaning, data analysis, and quality assurance)."
293,QA Tester (Co-op),Retail Business Services,4.0,N/A,➔ Ability to write SQL queries to create test data and verify test results.
294,Software Developer Co-op,"Healthcare Financial, Inc.",N/A,N/A,Process data and developing web applications and reporting tools supporting HFI’s new business initiatives and the speed or sudden variations in data collection…
295,Data Architecture Consultant,Accenture,4.0,N/A,Ensure test data conforms to data security requirements.
296,Junior Full Stack Developer,Mathematica Policy Research,3.8,N/A,"We collaborate closely with public- and private-sector partners to translate big questions into deep insights that improve programs, refine strategies, and…"
297,"Associate, Cloud Application Developer",KPMG,4.0,N/A,"From applied AI to optimization to big data platform engineering, your analytical and technical skills will drive real impact in the business world."
298,Talend Big Data Architect,Cervello Inc,N/A,N/A,Experience with big data cross platform compatible file formats like Apache Avro & Apache Parquet.
299,"VP Product Management, Effectv",Comcast,3.7,N/A,"You have a successful history of shipping innovative products on time with demonstrated analytical and quantitative skills, ability to use hard data and metrics…"
300,"AML Technology: Application Developer - Big Data, AVP",State Street,3.5,N/A,"Be responsible for Data Engineering using Hadoop, Spark, Scala and associated big data technologies."
301,Junior Full Stack Developer,Mathematica Policy Research,3.8,N/A,"We collaborate closely with public- and private-sector partners to translate big questions into deep insights that improve programs, refine strategies, and…"
302,"VP Product Management, Effectv",Comcast,3.7,N/A,"You have a successful history of shipping innovative products on time with demonstrated analytical and quantitative skills, ability to use hard data and metrics…"
303,"Associate, Cloud Application Developer",KPMG,4.0,N/A,"From applied AI to optimization to big data platform engineering, your analytical and technical skills will drive real impact in the business world."
304,Data Architecture Consultant,Accenture,4.0,N/A,Ensure test data conforms to data security requirements.
305,Lead Full Stack Developer,Mathematica Policy Research,3.8,N/A,Conduct code reviews with developers through pull requests.
306,Software Developer Co-op,"Healthcare Financial, Inc.",N/A,N/A,Process data and developing web applications and reporting tools supporting HFI’s new business initiatives and the speed or sudden variations in data collection…
307,"Vice President, IT & Informatics",EdenRoc Sciences,N/A,N/A,Create a comprehensive roadmap for the overall cyber-security and data privacy capabilities with a strategy of “data privacy by design”.
308,Software Developer Co-op,HFI-Healthcare Financial,N/A,N/A,Process data and developing web applications and reporting tools supporting HFI’s new business initiatives and the speed or sudden variations in data collection…
309,"Email Developer, Global CRM","Sonos, Inc",3.9,N/A,"Create send definitions, data extensions, send interactions and filters."
310,"Project Manager / Business Manager, Data Science & Advanced Analytics",MassMutual,3.7,N/A,Manipulation of large data sets.
311,Talend Big Data Architect,Cervello Inc,N/A,N/A,Experience with big data cross platform compatible file formats like Apache Avro & Apache Parquet.
312,Product Owner,BlueConic,N/A,N/A,"BlueConic is the market-leading customer data platform, which gives marketers the power to liberate their data and use it to improve marketing outcomes."
313,Software Development Programmer,Karen Clark & Company,N/A,N/A,Opportunity to develop domain expertise in insurance and big data.
314,Software Engineer,Red Hat Software,4.0,N/A,Design and implement disaster recovery processes for big data.
315,"AML Technology: Application Developer - Big Data, AVP",State Street,3.5,N/A,"Be responsible for Data Engineering using Hadoop, Spark, Scala and associated big data technologies."
316,Junior Full Stack Developer,Mathematica Policy Research,3.8,N/A,"We collaborate closely with public- and private-sector partners to translate big questions into deep insights that improve programs, refine strategies, and…"
317,"VP Product Management, Effectv",Comcast,3.7,N/A,"You have a successful history of shipping innovative products on time with demonstrated analytical and quantitative skills, ability to use hard data and metrics…"
318,"Associate, Cloud Application Developer",KPMG,4.0,N/A,"From applied AI to optimization to big data platform engineering, your analytical and technical skills will drive real impact in the business world."
319,Data Architecture Consultant,Accenture,4.0,N/A,Ensure test data conforms to data security requirements.
320,Lead Full Stack Developer,Mathematica Policy Research,3.8,N/A,Conduct code reviews with developers through pull requests.
321,Software Developer Co-op,"Healthcare Financial, Inc.",N/A,N/A,Process data and developing web applications and reporting tools supporting HFI’s new business initiatives and the speed or sudden variations in data collection…
322,"Vice President, IT & Informatics",EdenRoc Sciences,N/A,N/A,Create a comprehensive roadmap for the overall cyber-security and data privacy capabilities with a strategy of “data privacy by design”.
323,Software Developer Co-op,HFI-Healthcare Financial,N/A,N/A,Process data and developing web applications and reporting tools supporting HFI’s new business initiatives and the speed or sudden variations in data collection…
324,"Email Developer, Global CRM","Sonos, Inc",3.9,N/A,"Create send definitions, data extensions, send interactions and filters."
325,"Project Manager / Business Manager, Data Science & Advanced Analytics",MassMutual,3.7,N/A,Manipulation of large data sets.
326,Talend Big Data Architect,Cervello Inc,N/A,N/A,Experience with big data cross platform compatible file formats like Apache Avro & Apache Parquet.
327,Product Owner,BlueConic,N/A,N/A,"BlueConic is the market-leading customer data platform, which gives marketers the power to liberate their data and use it to improve marketing outcomes."
328,Software Development Programmer,Karen Clark & Company,N/A,N/A,Opportunity to develop domain expertise in insurance and big data.
329,Software Engineer,Red Hat Software,4.0,N/A,Design and implement disaster recovery processes for big data.
330,Jr. Big Data Developer,Enhance IT,3.1,United States,"Demonstrated ability to build processes that support data transformation, data structures, metadata, dependency and workload management."
331,Data Engineer,Perfect Company,N/A,"Portland, OR",Work with 3rd-party data providers to implement data integrations.
332,Data Engineering Manager,Ursus,4.9,"Portland, OR 97209 (Pearl District area)",There are about 8 big data projects that he/she will have to oversee.
333,Big Data Software Engineer,CyberCoders,3.3,"Portland, OR 97201 (Homestead area)","Data modeling, data access and data storage techniques from within big data ecosystems like Apache Spark."
334,Cloud Support Engineer I - Big Data,"Amazon Web Services, Inc.",3.5,N/A,Experience utilizing data analysis techniques such as quantitative or qualitative analysis.
335,Quantitative Modeler / Data Scientist,Umpqua Bank,3.5,N/A,"2-4 years of work experience working as a data scientist, model developer, model validator or as a quant working at a bank or financial firm."
336,Imaging Data Scientist,Intel,4.1,N/A,"Problem-solving, data mining and analytics, statistical analysis and project management skills."
337,"Senior Scientist, Data Science",XPO Logistics,3.2,N/A,Help support data consumers to ensure they have reliable access to trusted data.
338,Data Engineering Developer,Axian,N/A,N/A,You will be responsible for developing all data solutions as designed by the Data Engineering Tech Lead.
339,Data Scientist,Fresh Consulting,3.5,N/A,Develop modeling and data processes in Python.
340,"Associate, Low Code Developer",KPMG,4.0,N/A,"From applied AI to optimization to big data platform engineering, your analytical and technical skills will drive real impact in the business world."
341,Apparel Designer & Technical Developer,Evelyn & Bobbie,N/A,N/A,"Experience with wear-test data collection, survey creation and participation in innovation research studies is a plus."
342,Data Engineering Technical Lead,Axian,N/A,N/A,"You will be responsible for verifying requirements, defining architecture, developing an implementation plan, providing thought leadership for all data…"
343,AI Support Engineer,DataRobot,3.8,N/A,"Experience with Data Science, Data Analyst, Data Operations, or any experience working with big data."
344,Associate Data Scientist,Schrödinger,N/A,N/A,Verify data by comparing it to source documents and update existing data.
345,Data Engineering Tech Lead,VanderHouwen,3.8,"Beaverton, OR","You will be responsible for verifying requirements, defining architecture, developing an implementation plan, providing thought leadership for all data…"
346,Senior Big Data Engineer,VanderHouwen,3.8,"Beaverton, OR","The Data Engineer will collaborate with product owners, developers, database architects, data analysts, visual developers and data scientists on data…"
347,Product Designer I,Cvent,3.6,N/A,Form theories and recommendations based on usage data and product analytics.
348,Senior C++20 Engineer,Hydrolix,N/A,N/A,Designing/developing distributed data pipeline processors/flows.
349,Desktop Support Technician - Portland,New Relic,3.3,N/A,"We provide competitive compensation including equity and big-company benefits (medical, dental, etc.)—all while maintaining the energy, agility, and fun of a…"
350,"Vice President of Engineering, Consumer Solutions",Cambia Health Solutions,3.7,N/A,Working knowledge of big data technologies and high-volume transactional systems.
351,"Director, Product Management-OpenTelemetry (Remote)",New Relic,3.3,N/A,"Product strategy: Define an OpenTelemetry strategy informed by customer and market insights, data analysis, competitive landscape, and company direction."
352,BI Developer/Analyst (IT),Tektronix,3.6,N/A,Bring data to life through storytelling and advanced data visualization techniques.
353,Senior Digital Project Manager,FINE,4.1,N/A,"Create scopes of work, estimates and resource allocations for big budget projects."
354,"Manager, Cloud Application Developer",KPMG,4.0,N/A,"From applied AI to optimization to big data platform engineering, your analytical and technical skills will drive real impact in the business world."
355,Sr Designer,eBay Inc.,3.9,N/A,"You will collaborate with our data, design, product and engineering teams and be responsible for creating ideas, communications, and interface for the shopping…"
356,Cloud Services Developer,HP,4.0,N/A,Experience with big data and analytics.
357,Technical Curriculum Developer (AWS Cloud Curriculum),"Amazon Web Services, Inc.",3.5,N/A,"Amazon Web Services (AWS) Training and Certification Team is looking for developers, technical trainers, or technical instructional designers who want be a part…"
358,"Manager, Engineering",Smarsh,3.1,N/A,"Knowledge of/familiarity with big data technologies such as Hadoop, NoSQL."
359,Snowflake DW Architect/Lead,Clifyx Technology.,N/A,N/A,Understand and document data flows in and between different systems/applications.
360,Risk Data Engineer,"Genesis Financial Solutions, Inc.",2.9,N/A,"Experience building and optimizing ‘big data’ data pipelines, architectures and data sets."
361,Product Designer I,Cvent,3.6,N/A,Form theories and recommendations based on usage data and product analytics.
362,Senior C++20 Engineer,Hydrolix,N/A,N/A,Designing/developing distributed data pipeline processors/flows.
363,Senior Data Engineer,FlexIT Inc,N/A,N/A,"The Data Engineer will collaborate with product owners, developers, database architects, data analysts, visual developers and data scientists on data…"
364,Senior Full Stack Developer (Must Relo to Portland OR post COVID),The Mom Project,N/A,"Beaverton, OR","Experience working with NoSQL data stores such as HBase, DynamoDB, etc."
365,Data Engineering Tech Lead,VanderHouwen,3.8,"Beaverton, OR","You will be responsible for verifying requirements, defining architecture, developing an implementation plan, providing thought leadership for all data…"
366,Desktop Support Technician - Portland,New Relic,3.3,N/A,"We provide competitive compensation including equity and big-company benefits (medical, dental, etc.)—all while maintaining the energy, agility, and fun of a…"
367,Senior Digital Project Manager,FINE,4.1,N/A,"Create scopes of work, estimates and resource allocations for big budget projects."
368,BI Developer/Analyst (IT),Tektronix,3.6,N/A,Bring data to life through storytelling and advanced data visualization techniques.
369,Senior Big Data Engineer,VanderHouwen,3.8,"Beaverton, OR","The Data Engineer will collaborate with product owners, developers, database architects, data analysts, visual developers and data scientists on data…"
370,"Vice President of Engineering, Consumer Solutions",Cambia Health Solutions,3.7,N/A,Working knowledge of big data technologies and high-volume transactional systems.
371,"Director, Product Management-OpenTelemetry (Remote)",New Relic,3.3,N/A,"Product strategy: Define an OpenTelemetry strategy informed by customer and market insights, data analysis, competitive landscape, and company direction."
372,"Manager, Cloud Application Developer",KPMG,4.0,N/A,"From applied AI to optimization to big data platform engineering, your analytical and technical skills will drive real impact in the business world."
373,Sr Designer,eBay Inc.,3.9,N/A,"You will collaborate with our data, design, product and engineering teams and be responsible for creating ideas, communications, and interface for the shopping…"
374,Cloud Services Developer,HP,4.0,N/A,Experience with big data and analytics.
375,Business Controller - North America,"Edwards Vacuum, LLC",2.1,N/A,"Edwards is a leading developer and manufacturer of sophisticated vacuum products, exhaust management systems and related value-added services."
376,AI Support Engineer,DataRobot,3.8,N/A,"Experience with Data Science, Data Analyst, Data Operations, or any experience working with big data."
377,Data Science Engineer,Lytics,N/A,N/A,Interest in data science and data visualization.
378,Data Engineer,FlexIT Inc,N/A,N/A,5+ years of experience with data engineering with emphasis on data analytics and reporting.
379,Information Architect,FINE,4.1,N/A,Perform basic data modeling and mapping and working with our technical team as needed to validate.
380,SEO Manager,FINE,4.1,N/A,Experience in collaborating with developers and designers to provide SEO recommendations.
381,Big Data Software Engineer- SISW PLM 238504,Siemens,4.0,N/A,"The ideal candidate will have had experience with data modeling, data access and data storage techniques from within big data ecosystems like Apache Spark."
382,Data Engineering Tech Lead,VanderHouwen,3.8,"Beaverton, OR","You will be responsible for verifying requirements, defining architecture, developing an implementation plan, providing thought leadership for all data…"
383,Machine Learning Engineer,Tacoma Public Utilities,4.1,N/A,Work with data engineers and solutions architects to build and optimize data pipelines for machine learning and data science solution processing.
384,Senior Big Data Engineer,VanderHouwen,3.8,"Beaverton, OR","The Data Engineer will collaborate with product owners, developers, database architects, data analysts, visual developers and data scientists on data…"
385,Risk Data Engineer,"Genesis Financial Solutions, Inc.",2.9,N/A,"Experience building and optimizing ‘big data’ data pipelines, architectures and data sets."
386,Lead Data Scientist,New Relic,3.3,N/A,Experience using data access tools and building visualizations using large datasets and multiple data sources.
387,Application Technologist,Intel,4.1,N/A,"The Data Platforms Group drives new products technologies from high-end co-processors for supercomputers to low-energy systems for enterprise and the cloud, as…"
388,Senior Copywriter,New Relic,3.3,N/A,"Creative, upbeat problem solver who collaborates with graphic designers and web developers."
389,Process Developer - Account Administration,Genpact,3.8,N/A,Ability to handle repetitive data entry.
390,Data Engineering Technical Lead,Axian,N/A,N/A,"You will be responsible for verifying requirements, defining architecture, developing an implementation plan, providing thought leadership for all data…"
391,Customer Care Supervisor,Nautilus,3.8,N/A,"We exist to serve consumer needs and wants, using data and our deep consumer knowledge to drive our decision making."
392,"Data Analytics Manager, Marketplace Operations Analytics",Nike,4.1,N/A,"You will work in a product squad model led by a product manager and consisting of data analysts, engineers and visualization developers."
393,Associate Data Scientist,Schrödinger,N/A,N/A,Verify data by comparing it to source documents and update existing data.
394,Business Controller - North America,"Edwards Vacuum, LLC",2.1,N/A,"Edwards is a leading developer and manufacturer of sophisticated vacuum products, exhaust management systems and related value-added services."
395,AI Support Engineer,DataRobot,3.8,N/A,"Experience with Data Science, Data Analyst, Data Operations, or any experience working with big data."
396,Data Science Engineer,Lytics,N/A,N/A,Interest in data science and data visualization.
397,Data Engineer,FlexIT Inc,N/A,N/A,5+ years of experience with data engineering with emphasis on data analytics and reporting.
398,Information Architect,FINE,4.1,N/A,Perform basic data modeling and mapping and working with our technical team as needed to validate.
399,SEO Manager,FINE,4.1,N/A,Experience in collaborating with developers and designers to provide SEO recommendations.
400,User Interface Developer,SoSACorp,N/A,N/A,"SoSACorp’s Portland, OR office is looking for a user interface developer who is able to design, develop, and deploy user interfaces for new and existing web…"
401,Big Data Software Engineer- SISW PLM 238504,Siemens,4.0,N/A,"The ideal candidate will have had experience with data modeling, data access and data storage techniques from within big data ecosystems like Apache Spark."
402,Machine Learning Engineer,Tacoma Public Utilities,4.1,N/A,Work with data engineers and solutions architects to build and optimize data pipelines for machine learning and data science solution processing.
403,"Front End Developer (Oregon, Silicon Valley or Remote)","Rulai, Inc.",N/A,N/A,"Deep understanding of modern frontend JavaScript frameworks, proficient with vue.js is a big plus."
404,Risk Data Engineer,"Genesis Financial Solutions, Inc.",2.9,N/A,"Experience building and optimizing ‘big data’ data pipelines, architectures and data sets."
405,Associate Data Scientist,Schrödinger,N/A,N/A,Verify data by comparing it to source documents and update existing data.
406,Customer Care Supervisor,Nautilus,3.8,N/A,"We exist to serve consumer needs and wants, using data and our deep consumer knowledge to drive our decision making."
407,"Data Analytics Manager, Marketplace Operations Analytics",Nike,4.1,N/A,"You will work in a product squad model led by a product manager and consisting of data analysts, engineers and visualization developers."
408,SEO Manager,FINE,4.1,N/A,Experience in collaborating with developers and designers to provide SEO recommendations.
409,Business Controller - North America,"Edwards Vacuum, LLC",2.1,N/A,"Edwards is a leading developer and manufacturer of sophisticated vacuum products, exhaust management systems and related value-added services."
410,Big Data Software Engineer- SISW PLM 238504,Siemens,4.0,N/A,"The ideal candidate will have had experience with data modeling, data access and data storage techniques from within big data ecosystems like Apache Spark."
411,Engineering Manager,AT&T,3.7,N/A,"Care about solving big, systemic problems."
412,Solution Architect - Data & Analytics,Deloitte,4.0,N/A,Strong understanding of data modeling and data architecture.
413,Data Science Engineer,Lytics,N/A,N/A,Interest in data science and data visualization.
414,User Interface Developer,SoSACorp,N/A,N/A,"SoSACorp’s Portland, OR office is looking for a user interface developer who is able to design, develop, and deploy user interfaces for new and existing web…"
415,Machine Learning Engineer,Tacoma Public Utilities,4.1,N/A,Work with data engineers and solutions architects to build and optimize data pipelines for machine learning and data science solution processing.
416,Information Architect,FINE,4.1,N/A,Perform basic data modeling and mapping and working with our technical team as needed to validate.
417,Lead Data Scientist,New Relic,3.3,N/A,Experience using data access tools and building visualizations using large datasets and multiple data sources.
418,Process Developer - Account Administration,Genpact,3.8,N/A,Ability to handle repetitive data entry.
419,Data Engineer,FlexIT Inc,N/A,N/A,5+ years of experience with data engineering with emphasis on data analytics and reporting.
420,Risk Data Engineer,"Genesis Financial Solutions, Inc.",2.9,N/A,"Experience building and optimizing ‘big data’ data pipelines, architectures and data sets."
421,Senior Data Engineer,FlexIT Inc,N/A,N/A,"The Data Engineer will collaborate with product owners, developers, database architects, data analysts, visual developers and data scientists on data…"
422,Product Designer I,Cvent,3.6,N/A,Form theories and recommendations based on usage data and product analytics.
423,Senior C++20 Engineer,Hydrolix,N/A,N/A,Designing/developing distributed data pipeline processors/flows.
424,Desktop Support Technician - Portland,New Relic,3.3,N/A,"We provide competitive compensation including equity and big-company benefits (medical, dental, etc.)—all while maintaining the energy, agility, and fun of a…"
425,"Vice President of Engineering, Consumer Solutions",Cambia Health Solutions,3.7,N/A,Working knowledge of big data technologies and high-volume transactional systems.
426,"Director, Product Management-OpenTelemetry (Remote)",New Relic,3.3,N/A,"Product strategy: Define an OpenTelemetry strategy informed by customer and market insights, data analysis, competitive landscape, and company direction."
427,Data Engineering Tech Lead,VanderHouwen,3.8,"Beaverton, OR","You will be responsible for verifying requirements, defining architecture, developing an implementation plan, providing thought leadership for all data…"
428,Senior Big Data Engineer,VanderHouwen,3.8,"Beaverton, OR","The Data Engineer will collaborate with product owners, developers, database architects, data analysts, visual developers and data scientists on data…"
429,BI Developer/Analyst (IT),Tektronix,3.6,N/A,Bring data to life through storytelling and advanced data visualization techniques.
430,Senior Digital Project Manager,FINE,4.1,N/A,"Create scopes of work, estimates and resource allocations for big budget projects."
431,"Manager, Cloud Application Developer",KPMG,4.0,N/A,"From applied AI to optimization to big data platform engineering, your analytical and technical skills will drive real impact in the business world."
